id,encryptedValue,value
0,-1399.0909090909095,0.0
1,-139.90909090909093,0.0
2,0.0,0.0
3,139.90909090909093,0.0
4,279.81818181818187,0.0
5,419.7272727272728,0.0
6,419.7272727272728,0.0
7,419.7272727272728,0.0
8,839.4545454545456,0.0
9,1119.2727272727275,0.0
10,1678.9090909090912,0.0
11,1678.9090909090912,0.0
12,1958.727272727273,0.0
13,2098.636363636364,0.0
14,2098.636363636364,0.0
15,2238.545454545455,0.0
16,2658.272727272728,0.0
17,2658.272727272728,0.0
18,2798.1818181818185,0.0
19,2798.1818181818185,0.0
20,2938.0909090909095,0.0
21,3357.818181818182,0.0
22,3357.818181818182,0.0
23,3497.7272727272734,0.0
24,3497.7272727272734,0.0
25,3637.636363636364,0.0
26,3637.636363636364,0.0
27,4197.272727272728,0.0
28,4197.272727272728,0.0
29,4198.415584415585,0.0
30,4200.7012987012995,0.0
31,4201.844155844156,0.0
32,4202.987012987013,0.0
33,4204.129870129871,0.0
34,4206.415584415585,0.0
35,4206.415584415585,0.0
36,4207.558441558442,0.0
37,4208.7012987012995,0.0
38,4212.129870129871,0.0
39,4212.129870129871,0.0
40,4213.272727272728,0.0
41,4213.272727272728,0.0
42,4213.272727272728,0.0
43,4214.415584415585,0.0
44,4214.415584415585,0.0
45,4214.415584415585,0.0
46,4216.7012987012995,0.0
47,4217.844155844156,0.0
48,4217.844155844156,0.0
49,4224.7012987012995,0.0
50,4226.415584415585,0.0
51,4228.129870129871,0.0
52,4233.272727272728,0.0
53,4236.7012987012995,0.0
54,4236.7012987012995,0.0
55,4236.7012987012995,0.0
56,4236.7012987012995,0.0
57,4240.12987012987,0.0
58,4241.844155844156,0.0
59,4243.558441558442,0.0
60,4243.558441558442,0.0
61,4243.558441558442,0.0
62,4245.272727272728,0.0
63,4248.701298701299,0.0
64,4252.12987012987,0.0
65,4255.558441558442,0.0
66,4255.558441558442,0.0
67,4255.558441558442,0.0
68,4258.987012987013,0.0
69,4398.896103896104,0.0
70,4538.805194805195,0.0
71,4818.623376623377,0.0
72,4958.532467532468,0.0
73,4958.532467532468,0.0
74,5098.441558441558,0.0
75,5098.441558441558,0.0
76,5238.350649350649,0.0
77,5378.25974025974,0.0
78,5378.25974025974,0.0
79,5518.168831168831,0.0
80,5658.077922077922,0.0
81,5797.987012987013,0.0
82,5797.987012987013,0.0
83,5801.12987012987,0.0
84,5803.225108225109,0.0
85,5804.272727272728,0.0
86,5804.272727272728,0.0
87,5804.272727272728,0.0
88,5805.320346320346,0.0
89,5805.320346320346,0.0
90,5805.320346320346,0.0
91,5807.415584415585,0.0
92,5809.510822510822,0.0
93,5809.510822510822,0.0
94,5811.606060606061,0.0
95,5811.606060606061,0.0
96,5812.65367965368,0.0
97,5815.796536796537,0.0
98,5921.606060606052,0.0
99,5931.0346320346225,0.0
